,gross_return,turnover,transaction_cost,net_returns,n_longs,n_shorts
2015-10-29,0.0,0.25,0.000375,-0.000375,0,0
2015-10-30,0.0,0.0,0.0,0.0,0,0
2015-11-02,0.0,0.0,0.0,0.0,0,0
2015-11-03,0.0,0.0,0.0,0.0,0,0
2015-11-04,0.0,0.0,0.0,0.0,0,0
2015-11-05,0.0,0.0,0.0,0.0,0,0
2015-11-06,0.0,0.0,0.0,0.0,0,0
2015-11-09,0.0,0.0,0.0,0.0,0,0
2015-11-10,0.0,0.0,0.0,0.0,0,0
2015-11-11,0.0,0.0,0.0,0.0,0,0
2015-11-12,0.0,0.0,0.0,0.0,0,0
2015-11-13,0.0,0.0,0.0,0.0,0,0
2015-11-16,0.0,0.0,0.0,0.0,0,0
2015-11-17,0.0,0.0,0.0,0.0,0,0
2015-11-18,0.0,0.0,0.0,0.0,0,0
2015-11-19,0.0,0.0,0.0,0.0,0,0
2015-11-20,0.0,0.0,0.0,0.0,0,0
2015-11-23,0.0,0.0,0.0,0.0,0,0
2015-11-24,0.0,0.0,0.0,0.0,0,0
2015-11-25,0.001332106854082157,0.5,0.00075,0.000582106854082157,1,1
2015-11-27,-0.002251496562593871,0.75,0.0011250000000000001,-0.0033764965625938713,2,1
2015-11-30,-0.004515280881056315,0.25,0.000375,-0.004890280881056315,2,0
2015-12-01,0.011831510546950821,0.0,0.0,0.011831510546950821,2,0
2015-12-02,0.001576177781950257,0.5,0.00075,0.0008261777819502569,1,1
2015-12-03,0.0,0.5,0.00075,-0.00075,0,0
2015-12-04,0.0,0.0,0.0,0.0,0,0
2015-12-07,0.0,0.0,0.0,0.0,0,0
2015-12-08,-0.031642826602788186,0.5,0.00075,-0.03239282660278819,1,1
2015-12-09,0.002461788744977398,0.5,0.00075,0.0017117887449773978,1,2
2015-12-10,-0.009620889800333881,0.25,0.000375,-0.009995889800333882,0,2
2015-12-11,0.021518018673166682,0.16666666666666669,0.00025000000000000006,0.021268018673166682,0,3
2015-12-14,-0.005705434421189589,0.16666666666666669,0.00025000000000000006,-0.005955434421189589,0,2
2015-12-15,-0.009572902531785162,0.25,0.000375,-0.009947902531785163,0,1
2015-12-16,-0.009393142888900358,0.0,0.0,-0.009393142888900358,0,1
2015-12-17,0.0,0.25,0.000375,-0.000375,0,0
2015-12-18,0.0,0.0,0.0,0.0,0,0
2015-12-21,0.0,0.0,0.0,0.0,0,0
2015-12-22,0.0,0.0,0.0,0.0,0,0
2015-12-23,0.0,0.0,0.0,0.0,0,0
2015-12-24,0.0,0.0,0.0,0.0,0,0
2015-12-28,0.0,0.0,0.0,0.0,0,0
2015-12-29,0.0,0.0,0.0,0.0,0,0
2015-12-30,0.0,0.0,0.0,0.0,0,0
2015-12-31,0.0,0.0,0.0,0.0,0,0
2016-01-04,0.0,0.0,0.0,0.0,0,0
2016-01-05,0.0,0.0,0.0,0.0,0,0
2016-01-06,0.005773314170739891,0.5,0.00075,0.005023314170739891,1,1
2016-01-07,-0.002564978697029409,0.0,0.0,-0.002564978697029409,1,1
2016-01-08,0.012177903066707563,0.25,0.000375,0.011802903066707563,0,1
2016-01-11,-0.005150869249575092,0.0,0.0,-0.005150869249575092,0,1
2016-01-12,-0.009427385870437493,0.0,0.0,-0.009427385870437493,0,1
2016-01-13,-0.003939254489348364,0.75,0.0011250000000000001,-0.005064254489348364,1,1
2016-01-14,-0.007990862861082644,0.25,0.000375,-0.008365862861082644,0,1
2016-01-15,0.0001454787361943246,0.0,0.0,0.0001454787361943246,0,1
2016-01-19,0.006286159754277687,0.5833333333333334,0.0008750000000000001,0.005411159754277687,2,3
2016-01-20,-0.007717919031825396,0.6666666666666666,0.001,-0.008717919031825396,1,3
2016-01-21,-0.024006938613534326,0.4166666666666667,0.000625,-0.024631938613534327,0,2
2016-01-22,0.012728660106632827,0.4166666666666667,0.000625,0.012103660106632826,2,3
2016-01-25,0.007779948194074308,0.5833333333333333,0.0008749999999999999,0.006904948194074308,2,2
2016-01-26,-0.008434073478704715,0.5,0.00075,-0.009184073478704716,0,1
2016-01-27,-0.005055863061394954,0.0,0.0,-0.005055863061394954,0,1
2016-01-28,0.01705557044156001,0.0,0.0,0.01705557044156001,0,1
2016-01-29,-0.02299375574501565,0.0,0.0,-0.02299375574501565,0,1
2016-02-01,-0.005970853687967711,0.0,0.0,-0.005970853687967711,0,1
2016-02-02,0.025291298318315482,0.0,0.0,0.025291298318315482,0,1
2016-02-03,0.0,0.25,0.000375,-0.000375,0,0
2016-02-04,0.0,0.0,0.0,0.0,0,0
2016-02-05,0.0,0.0,0.0,0.0,0,0
2016-02-08,0.0,0.0,0.0,0.0,0,0
2016-02-09,0.0,0.0,0.0,0.0,0,0
2016-02-10,0.0,0.0,0.0,0.0,0,0
2016-02-11,0.0,0.0,0.0,0.0,0,0
2016-02-12,0.0,0.0,0.0,0.0,0,0
2016-02-16,0.0,0.0,0.0,0.0,0,0
2016-02-17,0.0,0.0,0.0,0.0,0,0
2016-02-18,0.0,0.0,0.0,0.0,0,0
2016-02-19,0.0,0.0,0.0,0.0,0,0
2016-02-22,0.0,0.0,0.0,0.0,0,0
2016-02-23,0.0,0.0,0.0,0.0,0,0
2016-02-24,0.0,0.0,0.0,0.0,0,0
2016-02-25,0.0,0.0,0.0,0.0,0,0
2016-02-26,0.0,0.0,0.0,0.0,0,0
2016-02-29,0.0,0.0,0.0,0.0,0,0
2016-03-01,0.0,0.0,0.0,0.0,0,0
2016-03-02,0.0,0.0,0.0,0.0,0,0
2016-03-03,0.0,0.0,0.0,0.0,0,0
2016-03-04,0.0,0.0,0.0,0.0,0,0
2016-03-07,0.0,0.0,0.0,0.0,0,0
2016-03-08,0.01640685673442214,0.25,0.000375,0.01603185673442214,0,1
2016-03-09,-0.009688829733553072,0.25,0.000375,-0.010063829733553072,0,2
2016-03-10,0.00024034463243788158,0.25,0.000375,-0.00013465536756211843,0,1
2016-03-11,0.0,0.25,0.000375,-0.000375,0,0
2016-03-14,0.0,0.0,0.0,0.0,0,0
2016-03-15,0.0,0.0,0.0,0.0,0,0
2016-03-16,0.0,0.0,0.0,0.0,0,0
2016-03-17,0.0,0.0,0.0,0.0,0,0
2016-03-18,0.0,0.0,0.0,0.0,0,0
2016-03-21,0.0,0.0,0.0,0.0,0,0
2016-03-22,0.0,0.0,0.0,0.0,0,0
2016-03-23,0.0,0.0,0.0,0.0,0,0
2016-03-24,0.0,0.0,0.0,0.0,0,0
2016-03-28,0.0,0.0,0.0,0.0,0,0
2016-03-29,0.0,0.0,0.0,0.0,0,0
2016-03-30,0.0,0.0,0.0,0.0,0,0
2016-03-31,-0.0003342322603179734,0.25,0.000375,-0.0007092322603179734,0,1
2016-04-01,0.026940804437717084,0.0,0.0,0.026940804437717084,0,1
2016-04-04,9.397130519073899e-05,0.75,0.0011250000000000001,-0.0010310286948092611,2,2
2016-04-05,-0.001950253999043609,0.6666666666666667,0.0010000000000000002,-0.002950253999043609,3,1
2016-04-06,-0.002664093312925224,0.0,0.0,-0.002664093312925224,3,1
2016-04-07,-0.013615473191916003,0.25,0.000375,-0.013990473191916004,3,0
2016-04-08,0.00034397171424713647,0.4166666666666667,0.000625,-0.00028102828575286354,2,1
2016-04-11,0.0010457175807280948,0.25,0.000375,0.0006707175807280948,2,0
2016-04-12,0.004110995752032191,0.0,0.0,0.004110995752032191,2,0
2016-04-13,0.0,0.25,0.000375,-0.000375,0,0
2016-04-14,0.0,0.0,0.0,0.0,0,0
2016-04-15,0.00316764854033953,0.25,0.000375,0.00279264854033953,0,1
2016-04-18,-0.01010134341548462,0.5,0.00075,-0.01085134341548462,1,0
2016-04-19,0.0034254634014078775,0.0,0.0,0.0034254634014078775,1,0
2016-04-20,0.0,0.25,0.000375,-0.000375,0,0
2016-04-21,0.0,0.0,0.0,0.0,0,0
2016-04-22,0.0013110030754357217,0.49999999999999994,0.0007499999999999999,0.0005610030754357218,3,2
2016-04-25,-0.011136156722516201,0.41666666666666663,0.0006249999999999999,-0.011761156722516201,3,0
2016-04-26,-0.0009123708431369963,0.0,0.0,-0.0009123708431369963,3,0
2016-04-27,0.0006956859159430004,0.16666666666666669,0.00025000000000000006,0.00044568591594300035,2,0
2016-04-28,-0.010784050888121675,0.25,0.000375,-0.011159050888121675,1,0
2016-04-29,-0.011092789874988537,0.0,0.0,-0.011092789874988537,1,0
2016-05-02,0.0007092458244827595,0.0,0.0,0.0007092458244827595,1,0
2016-05-03,-0.0008512391443392412,0.0,0.0,-0.0008512391443392412,1,0
2016-05-04,-0.009390418433137338,0.0,0.0,-0.009390418433137338,1,0
2016-05-05,0.00028950623675319276,0.0,0.0,0.00028950623675319276,1,0
2016-05-06,0.0,0.25,0.000375,-0.000375,0,0
2016-05-09,0.0,0.0,0.0,0.0,0,0
2016-05-10,0.0,0.0,0.0,0.0,0,0
2016-05-11,0.0,0.0,0.0,0.0,0,0
2016-05-12,0.0,0.0,0.0,0.0,0,0
2016-05-13,0.0,0.0,0.0,0.0,0,0
2016-05-16,0.0,0.0,0.0,0.0,0,0
2016-05-17,0.0002728575507258131,0.25,0.000375,-0.00010214244927418692,1,0
2016-05-18,-0.001092272615213073,0.0,0.0,-0.001092272615213073,1,0
2016-05-19,0.0,0.25,0.000375,-0.000375,0,0
2016-05-20,0.0,0.0,0.0,0.0,0,0
2016-05-23,0.0,0.0,0.0,0.0,0,0
2016-05-24,0.0,0.0,0.0,0.0,0,0
2016-05-25,0.0,0.0,0.0,0.0,0,0
2016-05-26,0.0,0.0,0.0,0.0,0,0
2016-05-27,0.0,0.0,0.0,0.0,0,0
2016-05-31,0.0,0.0,0.0,0.0,0,0
2016-06-01,0.0,0.0,0.0,0.0,0,0
2016-06-02,0.0,0.0,0.0,0.0,0,0
2016-06-03,-0.00225058787858166,0.5,0.00075,-0.0030005878785816604,1,2
2016-06-06,-0.008017129177834295,0.0,0.0,-0.008017129177834295,1,2
2016-06-07,-0.006326486303275267,0.25,0.000375,-0.006701486303275267,1,1
2016-06-08,0.0024421577197147834,0.0,0.0,0.0024421577197147834,1,1
2016-06-09,0.0043530901738205695,0.0,0.0,0.0043530901738205695,1,1
2016-06-10,0.005046832036058358,0.0,0.0,0.005046832036058358,1,1
2016-06-13,0.0,0.5,0.00075,-0.00075,0,0
2016-06-14,0.0,0.0,0.0,0.0,0,0
2016-06-15,0.003290487775969497,0.25,0.000375,0.002915487775969497,0,1
2016-06-16,0.0,0.25,0.000375,-0.000375,0,0
2016-06-17,0.003923061520817886,0.5,0.00075,0.003173061520817886,1,1
2016-06-20,-0.003510636797228521,0.25,0.000375,-0.003885636797228521,0,1
2016-06-21,-0.006208075793301816,0.0,0.0,-0.006208075793301816,0,1
2016-06-22,-0.001083813626182472,0.25,0.000375,-0.001458813626182472,1,1
2016-06-23,0.0027700947411941623,0.25,0.000375,0.0023950947411941624,1,0
2016-06-24,0.035934839234952616,0.5,0.00075,0.035184839234952615,2,1
2016-06-27,0.00925622733304584,0.75,0.0011250000000000001,0.008131227333045839,2,2
2016-06-28,0.006386935830850768,0.4166666666666667,0.000625,0.0057619358308507685,3,2
2016-06-29,0.003997320068734163,0.41666666666666663,0.0006249999999999999,0.003372320068734163,3,2
2016-06-30,0.0036004346843168406,0.4166666666666667,0.000625,0.0029754346843168405,2,2
