,0
2016-06-15,0.002915487775969497
2016-06-16,-0.000375
2016-06-17,0.003173061520817886
2016-06-20,-0.003885636797228521
2016-06-21,-0.006208075793301816
2016-06-22,-0.001458813626182472
2016-06-23,0.0023950947411941624
2016-06-24,0.035184839234952615
2016-06-27,0.008131227333045839
2016-06-28,0.0057619358308507685
2016-06-29,0.003372320068734163
2016-06-30,0.0029754346843168405
2016-07-01,0.007078199318084259
2016-07-05,-0.0062822360829460945
2016-07-06,-0.010500983704338801
2016-07-07,0.018183798332975655
2016-07-08,-0.000375
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,0.006066940350498561
2016-07-25,-0.013582398049180001
2016-07-26,0.016858381886161365
2016-07-27,-0.01481799392205665
2016-07-28,-0.0043098311330859555
2016-07-29,-0.00075
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,-0.004275479452821397
2016-08-04,-0.007844076930841729
2016-08-05,-0.027370625244781895
2016-08-08,-0.00082561246617421
2016-08-09,0.007061387185010128
2016-08-10,0.007268667343294669
2016-08-11,-0.000375
2016-08-12,0.0
2016-08-15,0.0
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,-0.002313029440526492
2016-09-01,-0.0017020846514853158
2016-09-02,-0.000375
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-12,0.00633274043626475
2016-09-13,-0.000375
2016-09-14,-0.012832730534662959
2016-09-15,-0.008885129673600719
2016-09-16,-0.00075
2016-09-19,0.0
2016-09-20,-0.0011729605360378727
2016-09-21,-0.005549783579206959
2016-09-22,-0.0008281970138690719
2016-09-23,0.0016735158252611086
2016-09-26,-0.000375
2016-09-27,0.0
2016-09-28,0.005760244559504685
2016-09-29,-0.0010496589222272947
2016-09-30,-0.000375
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.023905374729992105
2016-10-14,0.0018656882993833123
2016-10-17,0.0005314535408108044
2016-10-18,-0.000375
2016-10-19,0.0
2016-10-20,9.822894511783968e-05
2016-10-21,0.006148989600335909
2016-10-24,0.005231837441317359
2016-10-25,-0.009412359014186175
2016-10-26,-0.008848563205361266
2016-10-27,0.0037800017144951287
2016-10-28,0.0038687873810364986
2016-10-31,0.0030554501415080335
2016-11-01,-0.005499506235296445
2016-11-02,-0.0033007739029013447
2016-11-03,-0.000375
2016-11-04,0.003913220977171626
2016-11-07,0.01617434990093416
2016-11-08,-0.000375
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-14,0.0
2016-11-15,-0.009512997139841146
2016-11-16,0.001049268381138349
2016-11-17,-0.00075
2016-11-18,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,-0.003208753428531285
2016-11-25,0.0031702812596066266
2016-11-28,-0.011417193516742412
2016-11-29,0.002421321407409021
2016-11-30,-0.000375
2016-12-01,0.0
2016-12-02,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0017604138850945933
2016-12-09,0.016430390319857584
2016-12-12,-0.000375
2016-12-13,0.0
2016-12-14,0.005023055822380995
2016-12-15,0.012742966364533042
2016-12-16,-0.006566084166708654
2016-12-19,-0.000375
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.009283823606244825
2017-01-06,-0.000375
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,-0.010063119438446946
2017-01-12,0.0028868112133064974
2017-01-13,-0.007402761151097326
2017-01-17,-0.004897694666359764
2017-01-18,0.0022010067047822934
2017-01-19,-0.0018194652483337539
2017-01-20,0.004527575327568797
2017-01-23,-0.001433682362288944
2017-01-24,-0.0071005913523679645
2017-01-25,-0.0038764431843181495
2017-01-26,0.04241851314305768
2017-01-27,-0.010685410605099081
2017-01-30,-0.004723720264537317
2017-01-31,-0.0008129443292976538
2017-02-01,-0.000375
2017-02-02,0.0
2017-02-03,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.002492313535434745
2017-02-09,0.008847385981795517
2017-02-10,-0.002610288096580022
2017-02-13,-0.000375
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-06,-0.013307720804406394
2017-03-07,-0.000375
2017-03-08,-6.029782883192861e-05
2017-03-09,-0.000375
2017-03-10,0.0
2017-03-13,-0.017888556021243267
2017-03-14,-0.024198236580076853
2017-03-15,0.012025483908416575
2017-03-16,-0.004494251355915107
2017-03-17,-0.000375
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,-0.003205055368983906
2017-03-27,0.005510197110590857
2017-03-28,0.002367047728643157
2017-03-29,-0.0050915687434696655
2017-03-30,0.002175496661719537
2017-03-31,-0.000375
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,-0.0018355527925442002
2017-04-06,-0.000375
2017-04-07,0.0
2017-04-10,-0.000674860049341104
2017-04-11,-0.007232102642437146
2017-04-12,-0.007824064997670067
2017-04-13,0.006753751036840347
2017-04-17,0.008809400650350782
2017-04-18,-0.022180337446733176
2017-04-19,0.005220020721383351
2017-04-20,-0.008405812574743748
2017-04-21,0.0001020756929137989
2017-04-24,-0.011297655375875244
2017-04-25,0.014304401979241061
2017-04-26,0.005836502346390307
2017-04-27,-0.018195066942623014
2017-04-28,0.005736404597322222
2017-05-01,-0.0037641067810984556
2017-05-02,-0.00075
2017-05-03,-0.005367868044741774
2017-05-04,-0.0034037052087218236
2017-05-05,-0.000375
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-30,0.0
2017-05-31,0.00033784091749834125
2017-06-01,0.007274322133772514
2017-06-02,0.013262837498255175
2017-06-05,-0.0026997591637209903
2017-06-06,-0.000375
2017-06-07,0.0
2017-06-08,-0.007090943618881561
2017-06-09,-0.000375
2017-06-12,-0.007401165935238347
2017-06-13,-0.000375
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-03,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-10,0.0
2017-07-11,-0.010940389715310118
2017-07-12,0.0021793726428346685
2017-07-13,0.002623979636123685
2017-07-14,0.00613344910901282
2017-07-17,3.162783789337957e-05
2017-07-18,0.00044910250024360885
2017-07-19,-0.00075
2017-07-20,-0.009724799936950398
2017-07-21,0.004399376386440631
2017-07-24,0.006569416000901992
2017-07-25,0.006045370483651543
2017-07-26,-0.004311081827834145
2017-07-27,0.009999349979905689
2017-07-28,0.001485487129513917
2017-07-31,-0.0059448049903004455
2017-08-01,-0.004595506983440529
2017-08-02,-0.00075
2017-08-03,0.0
2017-08-04,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-14,0.0
2017-08-15,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-25,0.0
2017-08-28,0.0009159517783509036
2017-08-29,-0.0006542245476851864
2017-08-30,-0.0016834498932532338
2017-08-31,-0.000375
2017-09-01,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,-0.01736667026515238
2017-09-08,0.0003492858131274269
2017-09-11,0.012904739649001365
2017-09-12,0.0015422279782759422
2017-09-13,-0.00015392468643434009
2017-09-14,-0.008327959982292864
2017-09-15,0.014467081450837986
2017-09-18,-0.01564834371276497
2017-09-19,-0.005712035311288515
2017-09-20,-0.000375
2017-09-21,0.0
2017-09-22,0.0
2017-09-25,-0.0006425008083992901
2017-09-26,-0.000375
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.001514255432513355
2017-10-12,0.0017065220250746247
2017-10-13,-0.000375
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,-0.003345468386054382
2017-10-19,0.06277905832098057
2017-10-20,0.000870162857308259
2017-10-23,-0.00102298346156239
2017-10-24,-0.00075
2017-10-25,0.0
2017-10-26,-0.014416871990385391
2017-10-27,0.004263838293498754
2017-10-30,0.011482723601625298
2017-10-31,0.012400294284311785
2017-11-01,-0.006454731396162041
2017-11-02,-0.0011672020664549886
2017-11-03,-0.000375
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-10,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-24,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,-0.023934413964389577
2017-11-30,-0.0007080666539589291
2017-12-01,-0.010079901039365506
2017-12-04,0.009232796210001757
2017-12-05,-0.002069871442332886
2017-12-06,-0.000375
2017-12-07,0.0
2017-12-08,0.0
2017-12-11,0.0
2017-12-12,0.0
2017-12-13,0.0
2017-12-14,0.0
2017-12-15,-0.00460616896378461
2017-12-18,0.005484488994206545
2017-12-19,0.0025270443800542303
2017-12-20,-0.00924616167820322
2017-12-21,-0.010588393593582582
2017-12-22,-0.00022287115802027251
2017-12-26,-0.000375
2017-12-27,0.0
2017-12-28,0.0
2017-12-29,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,-0.0035175699784159094
2018-01-05,0.00018985814380076226
2018-01-08,0.004962838252543211
2018-01-09,-0.000375
2018-01-10,0.0042524908092944295
2018-01-11,-0.00962465773801398
2018-01-12,-0.013851027192451001
2018-01-16,0.005048555709246097
2018-01-17,-0.009298452080981482
2018-01-18,0.0003771802774962538
2018-01-19,-0.006485616381258726
2018-01-22,0.0008562654443873445
2018-01-23,-0.000375
2018-01-24,0.0603716144629611
2018-01-25,-0.0054681127442500225
2018-01-26,0.01100151302350623
2018-01-29,0.010542814142962225
2018-01-30,-0.009015879008683088
2018-01-31,-0.004407082239541076
2018-02-01,0.0036914836392092014
2018-02-02,0.016797231939311354
2018-02-05,0.022016208868614738
2018-02-06,-0.01406869949462448
2018-02-07,-0.002144719214108477
2018-02-08,0.02800736597003463
2018-02-09,0.00010737343852919475
2018-02-12,0.00012798168979869873
2018-02-13,-0.002259563107641846
2018-02-14,-0.000375
2018-02-15,0.0
2018-02-16,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.0
2018-03-16,0.0
2018-03-19,0.0
2018-03-20,0.0
2018-03-21,0.0
2018-03-22,0.0038494682147033844
2018-03-23,0.00470084132960945
2018-03-26,0.005353680946985802
2018-03-27,-0.002808315927134179
2018-03-28,-0.0007499999999999999
2018-03-29,0.0
2018-04-02,0.0
2018-04-03,-0.0017995971293300842
2018-04-04,-0.006122982691627018
2018-04-05,-0.0049759052700752955
2018-04-06,-0.000375
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,-0.014365658957597388
2018-04-12,-0.0017353921598427368
2018-04-13,0.00019160465936790474
2018-04-16,-0.000375
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,-0.0016444429115086553
2018-04-20,0.0029872267515622425
2018-04-23,0.009244689142308575
2018-04-24,0.00865571602872079
2018-04-25,-0.0035759043913807273
2018-04-26,-0.013987438601489443
2018-04-27,0.009220947178618752
2018-04-30,-0.000375
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-14,0.0
2018-05-15,0.0
2018-05-16,0.012136330496221762
2018-05-17,-0.005119448584552637
2018-05-18,-0.0026753412844032712
2018-05-21,0.0002873598579816487
2018-05-22,-0.013292631337382396
2018-05-23,-0.002388714680642977
2018-05-24,-0.007017482458023393
2018-05-25,-0.008512334131454738
2018-05-29,0.01529867012716071
2018-05-30,-0.000375
2018-05-31,0.0
2018-06-01,0.0
2018-06-04,0.0
2018-06-05,0.0
2018-06-06,0.0
2018-06-07,-0.006971822860861716
2018-06-08,0.005857913790818246
2018-06-11,0.0035661946435350204
2018-06-12,-0.005458101643662237
2018-06-13,-0.006050977413461108
2018-06-14,0.0018605186920453564
2018-06-15,-0.000375
2018-06-18,0.0
2018-06-19,0.0
2018-06-20,0.0
2018-06-21,0.0
2018-06-22,0.011428401296397777
2018-06-25,0.006105354159872071
2018-06-26,0.001073706444831109
2018-06-27,-0.000375
2018-06-28,0.0012131290443229406
2018-06-29,-0.0031712297480166064
2018-07-02,-0.000375
2018-07-03,0.0
2018-07-05,0.0
2018-07-06,0.0
2018-07-09,0.005439439120970502
2018-07-10,-0.003424416559671649
2018-07-11,-0.017265274988655738
2018-07-12,0.006213897929139019
2018-07-13,0.001665824760169476
2018-07-16,0.0032132889847566017
2018-07-17,0.002708279015029827
2018-07-18,-0.000375
2018-07-19,-0.01022014762990254
2018-07-20,0.008071383615978043
2018-07-23,0.0036239218592521993
2018-07-24,-0.005719647918682565
2018-07-25,-0.011893519552445792
2018-07-26,-0.041234530817226625
2018-07-27,-0.01911463628181137
2018-07-30,-0.006699245975482057
2018-07-31,-0.00075
2018-08-01,0.0
2018-08-02,0.0
2018-08-03,0.0
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,0.0
2018-08-09,0.0
2018-08-10,0.0
2018-08-13,0.0
2018-08-14,0.0
2018-08-15,0.0
2018-08-16,0.0
2018-08-17,0.004496606750583799
2018-08-20,-0.028292425265312292
2018-08-21,-0.004233080709464987
2018-08-22,0.014336985412993976
2018-08-23,-0.000375
2018-08-24,0.0
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,0.001292344240534679
2018-08-30,-0.0014339908823215739
2018-08-31,-0.000375
2018-09-04,0.0
2018-09-05,0.0
2018-09-06,0.0004455726395754683
2018-09-07,-0.0038963009799394483
2018-09-10,-0.0023325754345363673
2018-09-11,-0.005812414724275375
2018-09-12,-0.000375
2018-09-13,0.0
2018-09-14,0.0
2018-09-17,0.0
2018-09-18,-0.00616969400742542
2018-09-19,-0.009831482822030684
2018-09-20,-0.00347352476604545
2018-09-21,-0.020005013497557574
2018-09-24,-0.0017559510578494804
2018-09-25,0.013758029905733219
2018-09-26,-0.002810055220570966
2018-09-27,-0.005573124370217917
2018-09-28,-0.000375
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,-0.0037691316076906164
2018-10-04,-0.007044904136966042
2018-10-05,-0.000375
2018-10-08,0.0
2018-10-09,0.0
2018-10-10,0.0
2018-10-11,0.0
2018-10-12,-0.012045285344381863
2018-10-15,0.001646350746945841
2018-10-16,-0.0121016138130614
2018-10-17,-0.000375
2018-10-18,-0.015788085855351755
2018-10-19,-0.0022602233114831956
2018-10-22,-0.002636008609303407
2018-10-23,-0.005563262450613844
2018-10-24,-0.00075
2018-10-25,-0.029100311308241616
2018-10-26,0.004914504998272169
2018-10-29,-0.007489451246064755
2018-10-30,-0.012605450398539768
2018-10-31,-0.014975784097417438
2018-11-01,-0.0002855568206374528
2018-11-02,-0.00075
2018-11-05,0.0
2018-11-06,0.0
2018-11-07,0.0
2018-11-08,0.0
2018-11-09,0.0
2018-11-12,0.0
2018-11-13,0.0
2018-11-14,-0.0038187550927764836
2018-11-15,-0.000375
2018-11-16,0.0
2018-11-19,0.0
2018-11-20,0.0
2018-11-21,0.0
2018-11-23,0.0
2018-11-26,0.0
2018-11-27,-0.014286539014182201
2018-11-28,-0.0047789991510372295
2018-11-29,0.006797885645564273
2018-11-30,-0.008730211330799665
2018-12-03,0.0023444119706436213
2018-12-04,0.026797244884573985
2018-12-06,-0.006794013744129943
2018-12-07,0.017235277502788443
2018-12-10,-0.002224382192461765
2018-12-11,0.0038320739135740784
2018-12-12,-0.000375
2018-12-13,-0.01125742155070523
2018-12-14,-0.0070137868032399105
2018-12-17,-0.009935957316593195
2018-12-18,0.0067110307583520615
2018-12-19,-0.01010085704571272
2018-12-20,-0.000375
2018-12-21,0.0
2018-12-24,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-31,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.007905441183945736
2019-01-07,0.0012214995547900763
