,gross_return,turnover,transaction_cost,net_return,n_longs,n_shorts,gross_exposure
2023-05-30,0.0017466471562620914,0.02330789375749056,2.330789375749056e-05,0.001723339262504601,1,0,0.1590328709038482
2023-05-31,-0.005863116163655285,0.04255641285709859,4.255641285709859e-05,-0.005905672576512384,1,0,0.2441456966180454
2023-06-01,0.0026384244349213545,0.06,6e-05,0.0025784244349213543,1,1,0.3641456966180454
2023-06-02,-0.00042551217972638423,0.06602957215200893,6.602957215200893e-05,-0.0004915417518783932,1,1,0.49620484092206324
2023-06-05,-0.005249559072129215,0.012112010683235391,1.2112010683235392e-05,-0.00526167108281245,1,1,0.520428862288534
2023-06-06,0.0063515094160529395,0.06,6e-05,0.006291509416052939,1,2,0.5162417509787379
2023-06-07,0.001493503780258902,0.12688181054962192,0.0001268818105496219,0.00136662196970928,2,3,0.5081064104570766
2023-06-08,-0.0006136347528129816,0.27866171158213004,0.00027866171158213006,-0.0008922964643951117,2,2,0.5201252579381831
2023-06-09,0.00372921328625241,0.06,6e-05,0.00366921328625241,2,2,0.5102406660136548
2023-06-12,-0.0010929607377249955,0.15756546323461046,0.00015756546323461047,-0.001250526200959606,2,2,0.5126011936820641
2023-06-13,-0.0005071722546038954,0.09305010964714441,9.305010964714442e-05,-0.0006002223642510399,2,3,0.5319318273668151
2023-06-14,-0.0033878528554784804,0.22202036618958587,0.0002220203661895859,-0.0036098732216680663,2,2,0.5358351280269409
2023-06-15,-0.0027204603809856186,0.26007235789440425,0.00026007235789440424,-0.002980532738880023,1,3,0.5429206859750729
2023-06-16,0.0024221177484016494,0.17061517356869976,0.00017061517356869977,0.0022515025748329497,2,2,0.5435572517564302
2023-06-20,0.005688244579744256,0.22980960145053492,0.00022980960145053492,0.005458434978293721,2,2,0.5403431981001747
2023-06-21,-0.005353519235208324,0.04848949688483097,4.848949688483097e-05,-0.005402008732093155,2,2,0.5231963740485649
2023-06-22,0.0034539377036672337,0.10839070239225479,0.00010839070239225479,0.0033455470012749788,3,3,0.5034222036091445
2023-06-23,0.0015819482426428504,0.28892788331906133,0.00028892788331906136,0.001293020359323789,2,2,0.4300262942204772
2023-06-26,-0.0026750287668387464,0.06070575819000394,6.070575819000394e-05,-0.0027357345250287506,2,2,0.4557266934565092
2023-06-27,0.004455652070739934,0.16999363210900026,0.00016999363210900027,0.004285658438630934,2,2,0.5630526981374242
2023-06-28,-0.004018406501102065,0.283426178563159,0.000283426178563159,-0.004301832679665224,3,2,0.5821451749961678
2023-06-29,0.0020188059898573908,0.32733167498300164,0.00032733167498300166,0.001691474314874389,2,2,0.5753486484054164
2023-06-30,-0.006929327767427794,0.09403820953470696,9.403820953470696e-05,-0.007023365976962501,2,3,0.5687494782822002
