,net_return
2023-09-05,1.5375955170296177e-05
2023-09-06,-2.744526525713014e-06
2023-09-07,0.0
2023-09-08,0.0
2023-09-11,-3.276168954843122e-05
2023-09-12,-5.559395167657984e-06
2023-09-13,-5.481252556731683e-05
2023-09-14,-2.8001004549885796e-06
2023-09-15,-3.203755025793262e-05
2023-09-18,-5.740316601812694e-06
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,-2.1441588201063994e-05
2023-09-22,-0.00032309768972920577
2023-09-25,0.00018348459424282507
2023-09-26,-0.0001459855421582797
2023-09-27,0.0005022041979245004
2023-09-28,0.0001432624388273408
2023-09-29,-1.2311890770038827e-05
2023-10-02,0.00010881373078272985
2023-10-03,2.841161395380613e-07
2023-10-04,9.356080176365741e-05
2023-10-05,-4.597996556302837e-05
2023-10-06,-0.00010644436871755971
2023-10-09,-0.0002717266685571345
2023-10-10,0.0005151396982381333
2023-10-11,-0.00014202590830230224
2023-10-12,0.0017174194632558171
2023-10-13,0.0006741843505542822
2023-10-16,0.0026231791491237136
2023-10-17,-0.00028439996903937756
2023-10-18,0.001235093575672003
2023-10-19,-0.0001740416111272946
2023-10-20,0.00022964450324529297
2023-10-23,-1.2210999799356073e-05
2023-10-24,0.0
2023-10-25,-0.00019416873203518525
2023-10-26,0.0010671261839620824
2023-10-27,8.344020406103841e-05
2023-10-30,-0.00011334166539211726
2023-10-31,-0.0003108971666494451
2023-11-01,0.0010864427046682963
2023-11-02,-0.0018086900293501353
2023-11-03,0.0001542223264152192
2023-11-06,0.0002002081329277277
2023-11-07,0.0029916110937792508
2023-11-08,0.0061445175053544505
2023-11-09,-0.0008101723955248717
2023-11-10,-0.0017102544989075097
2023-11-13,-0.0019870187289164104
2023-11-14,0.004888051490720783
2023-11-15,-0.004798935986305204
2023-11-16,-0.002935286466238477
2023-11-17,0.004706021404922144
2023-11-20,-0.003995979792919938
2023-11-21,0.0021465714426840868
2023-11-22,0.0002758470021966682
2023-11-27,0.015042267649000983
2023-11-28,-0.00012247300265225692
2023-11-29,-0.005988904718321733
2023-11-30,0.0002799282990226866
2023-12-01,-0.0254933480163942
2023-12-04,-0.007926294597638125
2023-12-05,0.000953647864639318
2023-12-06,0.017595671081930876
2023-12-07,0.010212325041792427
2023-12-08,0.000844720706453858
2023-12-11,-0.00464912763961213
2023-12-12,0.005406667403262546
2023-12-13,-0.0015944515773421352
2023-12-14,1.6873209700342417e-05
2023-12-15,0.0037976879866226986
2023-12-18,0.0033839350572237147
2023-12-19,-0.0029738984331415014
2023-12-20,-0.00030783213681963414
2023-12-21,0.0019850067942515457
2023-12-22,-0.0012193690775099538
2023-12-26,-0.0002810987886797036
2023-12-27,0.0014063315039090864
2023-12-28,-0.0010695733354672663
2023-12-29,0.0008743042948695102
2024-01-02,0.0012394245996295195
2024-01-03,0.006047246647630989
2024-01-04,0.010632158958063095
2024-01-05,0.010661999516783444
2024-01-08,0.0026922251917615176
2024-01-09,0.007569709408694004
2024-01-10,-0.00396014334044969
2024-01-11,-0.0023361042479145967
2024-01-12,-0.02722595515311353
2024-01-16,-0.012797808217563633
2024-01-17,0.0037329283803752126
2024-01-18,0.004014202238396625
2024-01-19,0.004699840586955189
2024-01-22,0.008226816785729599
2024-01-23,-0.006810897439757105
2024-01-24,0.0010936610456401881
2024-01-25,-0.003316039859420473
2024-01-26,-0.004218049196910287
2024-01-29,0.00020632448010072456
2024-01-30,0.0036770976969677602
2024-01-31,0.0017389172690237078
2024-02-01,0.003127302988351961
2024-02-02,-0.0005004775686310468
2024-02-05,-0.0013147375593831404
2024-02-06,-0.0010725592094572706
2024-02-07,0.0022164833435213555
2024-02-08,-0.0006297523263568498
2024-02-09,0.0006860791246927398
2024-02-12,-0.00409315395440928
2024-02-13,0.0008935059764858376
2024-02-14,0.0005165352674232113
2024-02-15,-0.0013310130050738205
2024-02-16,-0.003879312037268649
2024-02-20,0.000560715817533552
2024-02-21,-0.00014264523066245908
2024-02-22,0.0005006692155857969
2024-02-23,0.001379862303635467
2024-02-26,0.0023110435472885192
2024-02-27,-0.0012936063215582157
2024-02-28,-0.0035565132141801973
2024-02-29,0.002282249679921878
2024-03-01,-0.0001811853784440868
2024-03-04,0.0010479765792940972
2024-03-05,-0.0033308996903788743
2024-03-06,-0.0003945767338462428
2024-03-07,0.002178648537685584
2024-03-08,0.0010224693300388814
2024-03-11,-0.0005640890965633944
2024-03-12,0.0006971826632297612
2024-03-13,0.001412608235293841
2024-03-14,-0.0034216278749303283
2024-03-15,-0.0006297757969744621
2024-03-18,-0.00043738948420885546
2024-03-19,4.4634277157692724e-05
2024-03-20,-7.554017065662535e-06
2024-03-21,0.0
2024-03-22,-1.1677432267178314e-06
2024-03-25,-0.000190088851628676
2024-03-26,-0.0001662820049696133
2024-03-27,-0.00043645476491740813
2024-03-28,6.919293147946763e-05
2024-04-01,3.00511497338816e-06
2024-04-02,-3.0251914360398427e-05
2024-04-03,0.0001030184520857962
2024-04-04,-7.55158601981977e-06
2024-04-05,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,2.4671911787548222e-05
2024-04-11,-0.00019565295820313258
2024-04-12,0.0004152715310472695
2024-04-15,0.0003418968542265589
2024-04-16,-1.4827227125073315e-05
2024-04-17,0.0
2024-04-18,0.00026020000805606654
2024-04-19,-6.825432570755166e-05
2024-04-22,6.564159875643398e-05
2024-04-23,6.980387401150375e-05
2024-04-24,-0.0006873097796574477
2024-04-25,-0.0007986071239090306
2024-04-26,-0.00046016604736928056
2024-04-29,0.0004307578277831156
2024-04-30,0.0001664052667207478
2024-05-01,0.0010270088482415933
2024-05-02,-0.00043282244055935877
2024-05-03,-0.0006705515675724646
2024-05-06,0.0007804252895603341
2024-05-07,0.0004307924938988561
2024-05-08,0.0039873148367524
2024-05-09,0.010474538322697314
2024-05-10,0.00043346707691053674
2024-05-13,0.0009744445212378321
2024-05-14,-0.0013915638986437332
2024-05-15,-0.004682333129936312
2024-05-16,-0.003138483014386451
2024-05-17,0.006877388775966476
2024-05-20,0.0015969583161603135
2024-05-21,-0.005731526075735094
2024-05-22,-0.00012277777777777778
2024-05-23,-0.000996933844957293
2024-05-24,0.0035019442928843183
2024-05-28,-0.005242376005844575
2024-05-29,-0.0068060203510492785
2024-05-30,0.003393116096497388
2024-05-31,0.007422618654460223
2024-06-03,-0.0016226451982495871
2024-06-04,-0.0007296844948523869
2024-06-05,7.878886841519508e-05
2024-06-06,0.013735639646674342
2024-06-07,-0.007751201984727563
2024-06-10,0.007420338573185192
2024-06-11,0.008175199864802866
2024-06-12,-0.019625463354134978
2024-06-13,0.01245207439313605
2024-06-14,-0.001660018220137476
2024-06-17,-0.0036062089137923006
2024-06-18,-0.006447745182625874
2024-06-20,-0.007453517414674045
2024-06-21,-0.00014081607225305688
2024-06-24,-0.005371283744282961
2024-06-25,0.00875969691189847
2024-06-26,-0.0012258461264979426
2024-06-27,0.005005233812501913
2024-06-28,0.00034632663141201056
2024-07-01,0.0004958066944473232
2024-07-02,-0.0005936822575019008
2024-07-03,-0.005970396184591693
2024-07-05,0.0006758206205813653
2024-07-08,0.005795300556356496
2024-07-09,0.0008287690423413488
2024-07-10,-0.001525786150043844
2024-07-11,-0.0002109302266899176
2024-07-12,0.00017333373910129245
2024-07-15,0.003299861270189342
2024-07-16,-0.011482162093627542
2024-07-17,0.00059886688562871
2024-07-18,0.004053348258672204
2024-07-19,-0.007564725208645035
2024-07-22,-0.0028174792272862986
2024-07-23,-0.001000562100274429
2024-07-24,-0.001116954379263274
2024-07-25,0.0008803805065236295
2024-07-26,-8.872321581260094e-07
2024-07-29,0.00024154709228087502
2024-07-30,-0.0015924310034779413
2024-07-31,-0.0013115995337800908
2024-08-01,-0.0006816290847571295
2024-08-02,-0.00020917359043787182
2024-08-05,0.0022218397437339128
2024-08-06,-4.833333333333341e-05
2024-08-07,0.0
2024-08-08,-0.000291997083442652
2024-08-09,-0.0001940081854683161
2024-08-12,-7.823548768602282e-05
2024-08-13,8.264859673089237e-05
2024-08-14,0.0001913653749022415
2024-08-15,-0.0009421093930540068
2024-08-16,0.002696502063400146
2024-08-19,0.0020337700814177418
2024-08-20,-0.0018941882374784755
2024-08-21,0.0013141731469403482
2024-08-22,0.0028678862271731597
2024-08-23,-0.0019625769416154607
2024-08-26,0.00022922582431340397
2024-08-27,-1.2117650747509806e-05
2024-08-28,-6.666666666666654e-06
2024-08-29,0.0
2024-08-30,0.0
2024-09-03,0.0
2024-09-04,0.0
2024-09-05,0.00011495143635416826
2024-09-06,9.894436618269434e-05
2024-09-09,0.0003452649614524691
2024-09-10,0.00019364626950389463
2024-09-11,0.0013436387784959986
2024-09-12,-0.0009338907368723757
2024-09-13,0.004165142367806834
2024-09-16,5.642441567644894e-06
2024-09-17,-0.005107115011452038
2024-09-18,-0.003656073149522211
2024-09-19,-0.0011303765846774584
2024-09-20,-9.021372173824705e-06
2024-09-23,0.0026455599966088528
2024-09-24,-0.003886609150694016
2024-09-25,0.010096501170427187
2024-09-26,0.008902895254118979
2024-09-27,0.0019801324387304633
2024-09-30,0.0013539876376063038
2024-10-01,-0.0013300660865351234
2024-10-02,-0.00244764323153208
2024-10-03,-0.007343992840035465
2024-10-04,-0.00975648459192134
2024-10-07,-0.0007514857034353555
2024-10-08,0.0011040450321191532
2024-10-09,0.0007172395386333297
2024-10-10,0.0008490654540611918
2024-10-11,0.0012286779497383742
2024-10-14,-8.256588209348017e-05
2024-10-15,-0.0018456957976222682
2024-10-16,-0.0016597752022916301
2024-10-17,-0.0037499493185750013
2024-10-18,-0.008102329639315653
2024-10-21,0.007636413947366368
2024-10-22,0.004283867029821924
2024-10-23,-0.007209942140540851
2024-10-24,0.004469242645253688
2024-10-25,-0.00016931121933061149
2024-10-28,-0.002574029136075771
2024-10-29,-0.0014707245402267174
2024-10-30,0.000160407949015868
2024-10-31,0.000827251136209321
2024-11-01,-0.0011041945321256588
2024-11-04,-0.000599745719682693
2024-11-05,-0.00020860913510581554
2024-11-06,-0.001149910276012939
2024-11-07,-3.5328001623120324e-06
2024-11-08,-0.002389882614048437
2024-11-11,0.0024630874364561734
2024-11-12,0.003131483361958685
2024-11-13,-0.002212150768628465
2024-11-14,-0.009393916664693995
2024-11-15,-0.0059728241487528476
2024-11-18,0.0021774065577803707
2024-11-19,-0.0017499477341763878
2024-11-20,0.0031034168358173558
2024-11-21,0.007298530549162133
2024-11-22,0.006245991185890274
2024-11-25,0.002135045560153663
2024-11-26,-0.004234003750291077
2024-11-27,-0.006313294770481194
2024-11-29,0.003003772128494534
2024-12-02,-0.0056628515070517695
2024-12-03,-0.014344951544212758
2024-12-04,-0.004584718444690072
2024-12-05,0.0003987051812597623
2024-12-06,0.003513761644203651
2024-12-09,0.009253609731082846
2024-12-10,0.008016681831924112
2024-12-11,-0.005591127932575576
2024-12-12,0.007344602117930811
2024-12-13,-0.004978751257898413
2024-12-16,-0.0017613373409703964
2024-12-17,-0.0013885510257164316
2024-12-18,1.0722320689588257e-05
2024-12-19,0.010355080437960023
2024-12-20,-0.004983194658726711
2024-12-23,-0.00030534323992508514
2024-12-24,-0.0004812864397579351
2024-12-26,0.0008789717112560275
2024-12-27,0.001367059139779353
2024-12-30,0.0013558442207461463
2024-12-31,-0.0022125295992309214
2025-01-02,-0.0010213563748578095
2025-01-03,-7.222222222222222e-05
2025-01-06,0.0
2025-01-07,0.0
2025-01-08,-4.666666666666664e-05
2025-01-13,0.0009673623124674193
2025-01-14,-0.0013452337765539907
2025-01-15,-4.666666666666664e-05
